pixel_index channel old_value new_value difference
3989 0 0 59 59
3991 0 0 57 57
3993 0 0 56 56
3995 0 0 58 58
3997 0 0 57 57
3999 0 0 55 55
4001 0 0 57 57
4003 0 0 58 58
4005 0 0 57 57
4007 0 0 62 62
4009 0 0 61 61
4011 0 0 57 57
4013 0 0 54 54
4015 0 0 58 58
4017 0 0 59 59
4019 0 0 54 54
4021 0 0 54 54
4023 0 0 60 60
4025 0 0 59 59
4027 0 0 59 59
4029 0 0 61 61
4031 0 0 60 60
4033 0 0 62 62
4035 0 0 60 60
4037 0 0 57 57
4039 0 0 60 60
4041 0 0 61 61
4043 0 0 60 60
4045 0 0 59 59
4047 0 0 58 58
4049 0 0 60 60
4051 0 0 58 58
4053 0 0 56 56
4055 0 0 56 56
4057 0 0 56 56
4059 0 0 55 55
4061 0 0 58 58
4063 0 0 64 64
4065 0 0 59 59
4067 0 0 58 58
4069 0 0 59 59
4071 0 0 61 61
4073 0 0 65 65
4075 0 0 56 56
4077 0 0 58 58
4079 0 0 67 67
4081 0 0 66 66
4083 0 0 67 67
4085 0 0 69 69
4087 0 0 69 69
4089 0 0 74 74
4091 0 0 78 78
4093 0 0 87 87
4095 0 0 91 91
4097 0 0 66 66
4099 0 0 69 69
4101 0 0 99 99
4103 0 0 87 87
4105 0 0 113 113
4107 0 0 70 70
4109 0 0 43 43
4111 0 0 55 55
4113 0 0 62 62
4115 0 0 71 71
4117 0 0 71 71
4119 0 0 68 68
4121 0 0 74 74
4123 0 0 83 83
4125 0 0 86 86
4127 0 0 78 78
4129 0 0 76 76
4131 0 0 74 74
4133 0 0 73 73
4135 0 0 79 79
4137 0 0 76 76
4139 0 0 66 66
4141 0 0 56 56
4143 0 0 67 67
4145 0 0 67 67
4147 0 0 61 61
4149 0 0 94 94
4151 0 0 94 94
4153 0 0 92 92
4155 0 0 82 82
4157 0 0 70 70
4159 0 0 63 63
4161 0 0 59 59
4163 0 0 58 58
4165 0 0 52 52
4167 0 0 79 79
4169 0 0 83 83
4171 0 0 64 64
4173 0 0 105 105
4175 0 0 108 108
4177 0 0 100 100
4179 0 0 92 92
4181 0 0 84 84
4183 0 0 78 78
4185 0 0 79 79
4187 0 0 78 78
4189 0 0 70 70
4191 0 0 69 69
4193 0 0 65 65
4195 0 0 56 56
4197 0 0 57 57
4199 0 0 58 58
4201 0 0 52 52
4203 0 0 53 53
4205 0 0 54 54
4207 0 0 52 52
4209 0 0 51 51
4211 0 0 50 50
4213 0 0 49 49
4215 0 0 50 50
4217 0 0 50 50
4219 0 0 49 49
4221 0 0 47 47
4223 0 0 46 46
4225 0 0 48 48
4227 0 0 50 50
4229 0 0 49 49
4231 0 0 46 46
4233 0 0 47 47
4235 0 0 50 50
4237 0 0 51 51
4239 0 0 52 52
4241 0 0 53 53
4243 0 0 53 53
4245 0 0 55 55
4247 0 0 54 54
4249 0 0 53 53
4251 0 0 51 51
4253 0 0 51 51
4255 0 0 57 57
4257 0 0 61 61
4259 0 0 53 53
4261 0 0 53 53
4263 0 0 57 57
4265 0 0 54 54
4267 0 0 56 56
4269 0 0 60 60
4271 0 0 55 55
4273 0 0 52 52
4275 0 0 55 55
4277 0 0 54 54
4279 0 0 55 55
4281 0 0 57 57
4283 0 0 57 57
4285 0 0 57 57
4287 0 0 50 50
4289 0 0 59 59
4291 0 0 94 94
4293 0 0 109 109
4295 0 0 95 95
4297 0 0 108 108
4299 0 0 58 58
4301 0 0 60 60
4303 0 0 90 90
4305 0 0 98 98
4307 0 0 84 84
4309 0 0 97 97
4311 0 0 86 86
4313 0 0 101 101
4315 0 0 80 80
4317 0 0 90 90
4319 0 0 80 80
4321 0 0 96 96
4323 0 0 80 80
4325 0 0 88 88
4327 0 0 78 78
4329 0 0 99 99
4331 0 0 83 83
4333 0 0 90 90
4335 0 0 77 77
4337 0 0 92 92
4339 0 0 74 74
4341 0 0 83 83
4343 0 0 75 75
4345 0 0 85 85
4347 0 0 70 70
4349 0 0 79 79
4351 0 0 66 66
4353 0 0 80 80
4355 0 0 70 70
4357 0 0 82 82
4359 0 0 68 68
4361 0 0 78 78
4363 0 0 68 68
4365 0 0 80 80
4367 0 0 67 67
4369 0 0 80 80
4371 0 0 68 68
4373 0 0 84 84
4375 0 0 77 77
4377 0 0 94 94
4379 0 0 82 82
4381 0 0 96 96
4383 0 0 53 53
4385 0 0 61 61
4387 0 0 69 69
4389 0 0 72 72
4391 0 0 81 81
4393 0 0 61 61
4395 0 0 67 67
4397 0 0 74 74
4399 0 0 81 81
4401 0 0 94 94
4403 0 0 102 102
4405 0 0 108 108
4407 0 0 77 77
4409 0 0 45 45
4411 0 0 45 45
4413 0 0 42 42
4415 0 0 45 45
4417 0 0 45 45
4419 0 0 45 45
4421 0 0 77 77
4423 0 0 73 73
4425 0 0 67 67
4427 0 0 62 62
4429 0 0 57 57
4431 0 0 91 91
4433 0 0 88 88
4435 0 0 82 82
4437 0 0 77 77
4439 0 0 72 72
4441 0 0 66 66
4443 0 0 66 66
4445 0 0 68 68
4447 0 0 64 64
4449 0 0 90 90
4451 0 0 87 87
4453 0 0 80 80
4455 0 0 77 77
4457 0 0 70 70
4459 0 0 65 65
4461 0 0 61 61
4463 0 0 57 57
4465 0 0 62 62
4467 0 0 56 56
4469 0 0 48 48
4471 0 0 52 52
4473 0 0 45 45
4475 0 0 73 73
4477 0 0 79 79
4481 0 0 77 77
4483 0 0 65 65
4485 0 0 118 118
4487 0 0 114 114
